SKU,Model,Collection,Material,Shape,Size,Colors
1817,VP 126,Versailles Palace,Metal,AVIATOR,55- 18- 145,3
2040,VP 131,Millennial,Plastic,OVAL,51- 18- 145,3
2249,VP 134,Versailles Palace,Metal,AVIATOR,54- 20- 145,2
1239,VP 18,Versailles Palace,Metal,"",41- 19- 130,3
2134,VP 210,Versailles Palace,Metal,"",45- 15- 125,1
2171,VP 212,Versailles Palace,Metal,RECTANGLE,55- 18- 145,3
1451,VP 29,Versailles Palace,Metal,"",38- 18- 120,3
1522,VS 502,Versailles Palace,Metal,RECTANGLE,54- 20- 150,2
1535,VS 505,Versailles Palace,Metal,OVAL,50- 20- 140,3
976,WILLOW,Peachtree,Metal,OVAL,52- 20- 145,3
1081,WINDSOR,Versailles Palace,Metal,OVAL,51- 16- 140,3
